_id,zone_id,humidity,temperature,soil_moisture,soil_moisture_10cm,soil_moisture_30cm,soil_moisture_60cm,light,wind_speed,rainfall,rainfall_intensity,created_at
695d9d7bd135c4c10bf918da,zone-1,42.1,35.1,43.2,43.2,61.3,68.6,82114.0,7.3,False,none,2026-01-06T23:40:43.938000
695d9d80d135c4c10bf918db,zone-1,50.7,33.9,45.7,45.7,64.2,71.6,78425.0,11.9,False,none,2026-01-06T23:40:48.957000
695d9d85d135c4c10bf918dc,zone-1,52.0,34.3,49.7,49.7,68.4,74.7,74306.0,4.9,False,none,2026-01-06T23:40:53.968000
695d9d8ad135c4c10bf918dd,zone-1,44.5,37.1,51.3,51.3,73.2,76.6,82308.0,7.6,False,none,2026-01-06T23:40:58.979000
695d9d90d135c4c10bf918de,zone-1,51.1,37.3,54.3,54.3,78.9,80.6,50999.0,11.0,False,none,2026-01-06T23:41:04.005000
695d9d95d135c4c10bf918df,zone-1,42.8,34.2,61.0,61.0,84.3,84.3,38638.0,4.6,False,none,2026-01-06T23:41:09.010000
695d9d9ad135c4c10bf918e0,zone-1,52.2,32.3,68.2,68.2,88.9,88.5,18825.0,2.4,False,none,2026-01-06T23:41:14.023000
695d9d9fd135c4c10bf918e1,zone-1,38.6,31.0,76.0,76.0,96.3,92.9,450.0,12.1,False,none,2026-01-06T23:41:19.039000
695d9da4d135c4c10bf918e2,zone-1,45.7,31.8,74.6,74.6,95.6,92.5,16.0,11.0,False,none,2026-01-06T23:41:24.058000
695d9da9d135c4c10bf918e3,zone-1,35.4,27.4,73.3,73.3,95.0,92.1,3.0,8.9,False,none,2026-01-06T23:41:29.073000
695d9daed135c4c10bf918e4,zone-1,43.1,26.0,72.4,72.4,94.5,91.8,47.0,5.6,False,none,2026-01-06T23:41:34.088000
695d9db3d135c4c10bf918e5,zone-1,43.0,23.5,71.5,71.5,94.2,91.5,29.0,2.4,False,none,2026-01-06T23:41:39.104000
695d9db8d135c4c10bf918e6,zone-1,36.2,24.3,70.5,70.5,93.7,91.3,20.0,6.8,False,none,2026-01-06T23:41:44.121000
695d9dbdd135c4c10bf918e7,zone-1,42.1,20.9,70.0,70.0,93.4,91.1,41.0,2.7,False,none,2026-01-06T23:41:49.136000
695d9dc2d135c4c10bf918e8,zone-1,44.7,19.3,69.2,69.2,93.0,90.9,24.0,12.9,False,none,2026-01-06T23:41:54.151000
695d9dc7d135c4c10bf918e9,zone-1,48.0,20.5,68.3,68.3,92.5,90.6,22.0,12.4,False,none,2026-01-06T23:41:59.167000
695d9dccd135c4c10bf918ea,zone-1,38.0,20.8,67.7,67.7,92.2,90.4,21.0,6.4,False,none,2026-01-06T23:42:04.190000
695d9dd1d135c4c10bf918eb,zone-1,47.3,21.9,66.9,66.9,91.8,90.2,3.0,9.6,False,none,2026-01-06T23:42:09.206000
695d9dd6d135c4c10bf918ec,zone-1,54.0,24.3,66.0,66.0,91.3,89.9,20.0,3.4,False,none,2026-01-06T23:42:14.229000
695d9ddbd135c4c10bf918ed,zone-1,50.7,23.9,65.1,65.1,90.9,89.6,450.0,5.5,False,none,2026-01-06T23:42:19.331000
695d9de0d135c4c10bf918ee,zone-1,38.0,24.1,62.6,62.6,89.8,89.0,20353.0,6.9,False,none,2026-01-06T23:42:24.504000
695d9de5d135c4c10bf918ef,zone-1,35.3,29.3,57.4,57.4,87.4,87.7,41109.0,11.1,False,none,2026-01-06T23:42:29.682000
695d9dead135c4c10bf918f0,zone-1,48.5,31.8,52.7,52.7,84.5,85.9,56754.0,6.6,False,none,2026-01-06T23:42:34.809000
695d9defd135c4c10bf918f1,zone-1,41.9,31.6,45.4,45.4,80.9,83.9,81368.0,3.6,False,none,2026-01-06T23:42:39.955000
695d9df1d135c4c10bf918f2,zone-1,53.35284618753283,23.491163923987937,42.130269123927086,38.605555554003665,43.944080285966066,46.785944215424934,533.3441943723308,8.197699700758028,False,none,2026-01-06T23:42:41.704000
695d9df1d135c4c10bf918f3,zone-1,62.470890906237585,25.77944551048668,57.56736142819712,53.69574573918351,58.30908412985794,64.23407120522683,401.50683024079837,10.31788188661524,False,none,2026-01-06T23:42:41.950000
695d9df2d135c4c10bf918f4,zone-1,72.47997026218525,27.13826271325524,58.997010947767905,55.0666214329446,62.34648062234939,68.113510636158,451.6993595177334,9.557901109532883,False,none,2026-01-06T23:42:42.057000
695d9df2d135c4c10bf918f5,zone-1,78.53123100993857,30.20112338125478,66.93083993982688,61.45779312059676,66.93629660305372,74.93854758187607,528.9010740783413,13.38988804008854,False,none,2026-01-06T23:42:42.167000
695d9df2d135c4c10bf918f6,zone-1,75.41045947267982,30.830209661564,65.71604697547473,61.476735469481895,68.08216273590236,72.50942447482038,485.15799338906334,6.495604813461249,False,none,2026-01-06T23:42:42.275000
695d9df2d135c4c10bf918f7,zone-1,76.84783027209822,30.326125017167968,59.52188664493176,56.388952592424786,60.214279490066644,70.02919241100918,419.9975449428831,11.088686489942429,False,none,2026-01-06T23:42:42.386000
695d9df2d135c4c10bf918f8,zone-1,67.39542959658438,30.137693230938247,45.164035420955074,43.88344038009031,47.77972342463678,53.62521020100573,431.0956340144738,5.887631143211244,False,light,2026-01-06T23:42:42.494000
695d9df2d135c4c10bf918f9,zone-1,61.09259287984338,32.133535739887556,37.60329528366494,34.6020145716677,39.78106734268254,42.14103355010804,443.82124993522376,5.266449568021438,False,none,2026-01-06T23:42:42.605000
695d9df2d135c4c10bf918fa,zone-1,50.610913423788624,30.10121439036893,29.184390075568153,28.344670158902343,29.984786538169665,35.351643960150795,445.51035658686686,8.979555340305248,False,none,2026-01-06T23:42:42.715000
695d9df2d135c4c10bf918fb,zone-1,49.01042440062734,27.21460076139153,23.970701318853052,25.48870115551552,26.062080732134973,27.288720163483777,480.0499471158355,13.592167583488985,False,none,2026-01-06T23:42:42.839000
695d9df2d135c4c10bf918fc,zone-1,36.61381748744777,26.111402173616156,28.13832771666074,27.44569609951726,32.0736615264286,32.7069033402592,491.91040741845507,10.536945619606636,False,none,2026-01-06T23:42:42.948000
695d9df3d135c4c10bf918fd,zone-1,34.51999248780539,23.163732386216473,33.858471959228616,33.17063455031507,37.115827924075745,38.49605151979728,572.5266033803837,6.66310037632155,False,none,2026-01-06T23:42:43.059000
695d9df3d135c4c10bf918fe,zone-1,39.75329322222895,20.45421004066057,40.793324307918965,40.95221192268907,42.09307477240801,45.0088733860264,550.601351697814,5.476639019611193,True,none,2026-01-06T23:42:43.171000
695d9df3d135c4c10bf918ff,zone-1,39.43288030107698,18.864176948077485,46.62379003755157,42.80918103238719,48.43608699988584,54.81784423918604,591.9093874970117,11.754952583503444,False,none,2026-01-06T23:42:43.295000
695d9df3d135c4c10bf91900,zone-1,39.675350788093375,17.805686291648293,60.26771833671297,54.50002376893121,61.33522024163889,69.86545125924118,579.0347193691158,5.243564051402582,False,none,2026-01-06T23:42:43.405000
695d9df3d135c4c10bf91901,zone-1,50.73326999055839,15.999117172403409,61.267156442600474,57.061845175809445,65.79775147197525,69.23620746507311,424.6489918005273,10.865710787302714,False,light,2026-01-06T23:42:43.514000
695d9df3d135c4c10bf91902,zone-1,61.69498848892391,16.885077472547323,64.09338214968798,59.41629141039688,65.35213268770534,75.22485955045626,588.3254111491913,9.053682568743096,False,none,2026-01-06T23:42:43.622000
695d9df3d135c4c10bf91903,zone-1,67.51291710597535,16.800103240797657,60.57356143418677,57.041652188082715,64.87019539372793,67.84380497990365,404.56051530319536,8.825904551167863,False,none,2026-01-06T23:42:43.733000
695d9df3d135c4c10bf91904,zone-1,74.15389935783529,16.816674189736176,56.19438136661136,51.01208785416807,60.64758869927035,65.71201584931376,486.2410617948815,12.52847362920468,False,none,2026-01-06T23:42:43.844000
695d9df3d135c4c10bf91905,zone-1,76.90056407926751,17.789780604881503,43.76484886060385,40.089174485538436,48.04428665666155,48.175469907110134,426.7306082486913,13.882916872089218,False,none,2026-01-06T23:42:43.966000
695d9df4d135c4c10bf91906,zone-1,40.4,33.4,35.9,35.9,76.1,81.0,90676.0,8.2,False,none,2026-01-06T23:42:44.983000
695d9df9d135c4c10bf91907,zone-1,53.4,35.3,35.0,35.0,79.6,84.5,87259.0,3.1,False,none,2026-01-06T23:42:49.997000
695d9dffd135c4c10bf91908,zone-1,50.8,36.7,37.4,37.4,81.3,87.9,90417.0,9.4,False,none,2026-01-06T23:42:55.009000
695d9e04d135c4c10bf91909,zone-1,43.2,36.0,39.3,39.3,83.0,91.2,69826.0,7.3,False,none,2026-01-06T23:43:00.033000
695d9e09d135c4c10bf9190a,zone-1,35.7,35.7,42.2,42.2,86.9,94.9,57376.0,8.7,False,none,2026-01-06T23:43:05.049000
695d9e0ed135c4c10bf9190b,zone-1,50.2,34.8,46.8,46.8,91.4,99.2,45231.0,9.0,False,none,2026-01-06T23:43:10.065000
695d9e13d135c4c10bf9190c,zone-1,52.1,35.1,55.8,55.8,97.0,100.0,21038.0,7.9,False,none,2026-01-06T23:43:15.091000
695d9e18d135c4c10bf9190d,zone-1,53.3,30.3,63.3,63.3,100.0,100.0,450.0,10.7,False,none,2026-01-06T23:43:20.106000
695d9e1dd135c4c10bf9190e,zone-1,41.3,30.2,71.5,71.5,100.0,100.0,450.0,3.4,False,none,2026-01-06T23:43:25.122000
695d9e22d135c4c10bf9190f,zone-1,52.2,26.7,70.2,70.2,99.3,99.7,9.0,8.8,False,none,2026-01-06T23:43:30.138000
695d9e27d135c4c10bf91910,zone-1,49.8,27.0,69.1,69.1,98.6,99.3,7.0,8.1,False,none,2026-01-06T23:43:35.161000
695d9e2cd135c4c10bf91911,zone-1,46.0,22.8,68.0,68.0,98.2,99.1,34.0,9.1,False,none,2026-01-06T23:43:40.177000
695d9e31d135c4c10bf91912,zone-1,39.3,23.1,66.9,66.9,97.8,98.7,31.0,11.1,False,none,2026-01-06T23:43:45.192000
695d9e36d135c4c10bf91913,zone-1,50.1,21.3,66.1,66.1,97.3,98.5,18.0,12.4,False,none,2026-01-06T23:43:50.206000
695d9e3bd135c4c10bf91914,zone-1,62.3,19.0,71.1,71.1,100.0,99.0,11.0,9.1,True,moderate,2026-01-06T23:43:55.226000
695d9e40d135c4c10bf91915,zone-1,68.6,19.2,76.1,76.1,100.0,99.5,38.0,2.9,True,moderate,2026-01-06T23:44:00.260000
695d9e45d135c4c10bf91916,zone-1,72.5,18.4,79.8,79.8,100.0,100.0,49.0,7.0,True,heavy,2026-01-06T23:44:05.278000
695d9e45d135c4c10bf91917,zone-1,59.50761720676849,23.50375654082767,49.49533151736675,48.25800853022882,49.50047796217543,58.83520176051668,408.98768706650736,5.112860098811688,False,none,2026-01-06T23:44:05.482000
695d9e45d135c4c10bf91918,zone-1,63.039530315936624,27.57270073269806,54.40709038488923,53.71623836610402,57.039881159875904,60.48346170121635,413.2498672881966,13.607776072558703,False,none,2026-01-06T23:44:05.741000
695d9e45d135c4c10bf91919,zone-1,65.69112143778256,28.30858916498666,64.65827196356854,60.21679923488438,67.73874958604671,74.81815738645697,401.9924910820394,8.60270844577477,False,none,2026-01-06T23:44:05.855000
695d9e45d135c4c10bf9191a,zone-1,72.7282769256257,28.746262684393187,60.33021786658402,58.92831044697894,63.38278457455776,67.77325024393248,581.3154992119224,8.914088923906125,True,light,2026-01-06T23:44:05.965000
695d9e46d135c4c10bf9191b,zone-1,78.46254331863996,33.22675722118198,65.26280050816287,62.79874979272899,67.27663608041279,75.00238367696056,475.291934959066,5.234634591525994,False,none,2026-01-06T23:44:06.087000
695d9e46d135c4c10bf9191c,zone-1,75.78750109653296,32.8980226047367,52.5329200880039,50.30469545966283,53.49157461796099,62.14577893798554,475.5720271364993,12.72350725816742,False,none,2026-01-06T23:44:06.200000
695d9e46d135c4c10bf9191d,zone-1,64.99138680087647,32.52965686979622,47.89267697533693,43.4748932001377,49.469888235682475,56.632523563386954,522.2314841060447,12.28066435235547,True,light,2026-01-06T23:44:06.320000
695d9e46d135c4c10bf9191e,zone-1,62.003110433674365,29.167205715543723,41.259052535352566,37.34842114565909,43.18030808342654,50.21891749814131,474.1962145872973,14.15163548574675,False,none,2026-01-06T23:44:06.433000
695d9e46d135c4c10bf9191f,zone-1,54.40683817663714,29.993161920417137,34.00365745800934,32.23657049039605,37.862741168074926,41.32993699741573,539.3485962216083,10.02206681202805,False,none,2026-01-06T23:44:06.553000
695d9e46d135c4c10bf91920,zone-1,46.34973128909015,29.02162959394337,28.908375129566263,29.18463265578937,31.1671314873168,35.952092369444586,547.8390002852068,13.268868598200758,False,none,2026-01-06T23:44:06.664000
695d9e46d135c4c10bf91921,zone-1,42.357469371161784,23.548689543859446,22.947915960332033,21.156866902608353,26.68054126461692,26.75641037767592,538.5233942255613,8.327480153561188,False,none,2026-01-06T23:44:06.785000
695d9e46d135c4c10bf91922,zone-1,36.380346915932805,20.990974215393123,35.24589813571555,31.7767356322221,36.428854060108456,42.896615267360986,449.2525772059349,10.342511406892399,False,light,2026-01-06T23:44:06.903000
695d9e47d135c4c10bf91923,zone-1,35.560574176747494,22.015194923010462,43.6246076819796,42.27009409677845,44.72331033932714,49.19527225675331,435.4158201057742,8.848282629864439,False,none,2026-01-06T23:44:07.019000
695d9e47d135c4c10bf91924,zone-1,33.67194599988521,17.841371122501485,47.55470955084964,43.89471075957905,51.553784747789194,57.075288154348016,457.98340933453534,12.138913939724178,True,none,2026-01-06T23:44:07.136000
695d9e47d135c4c10bf91925,zone-1,46.5253260004605,15.305735869412771,54.02045685391673,48.960905962917835,57.782832704651824,61.84466881314177,413.28994100030513,5.792110332609486,True,none,2026-01-06T23:44:07.251000
695d9e47d135c4c10bf91926,zone-1,53.394486714819614,16.092414919081822,64.91346911071496,58.771495752809635,67.92077701534188,73.26494754804551,563.2864497389735,13.186520783633574,False,none,2026-01-06T23:44:07.368000
695d9e47d135c4c10bf91927,zone-1,60.46066557792391,15.995945702407434,66.72184002084943,62.18112810197985,67.55795883431243,76.80195291435234,434.68956135479266,8.554824409581002,False,none,2026-01-06T23:44:07.484000
695d9e47d135c4c10bf91928,zone-1,64.47782947671294,14.95259846481152,59.13616401240151,54.291557115198565,62.83917528331022,65.07252229120608,422.00151985567504,8.331700900049288,False,none,2026-01-06T23:44:07.594000
695d9e47d135c4c10bf91929,zone-1,73.214914260854,19.605170909496586,49.0548171292121,47.608853951127635,49.183436232600016,55.548795349468534,469.1157832474747,6.351889575468803,False,none,2026-01-06T23:44:07.703000
695d9e47d135c4c10bf9192a,zone-1,69.57121787443624,19.497843881998765,42.85316118270423,39.94466540812406,43.76254890697393,51.19342876253236,435.0129795973611,6.225514393662799,False,none,2026-01-06T23:44:07.818000
695d9e4ad135c4c10bf9192b,zone-1,69.9,22.2,84.2,84.2,100.0,100.0,37.0,7.3,True,moderate,2026-01-06T23:44:10.296000
695d9e4fd135c4c10bf9192c,zone-1,68.7,22.3,90.2,90.2,100.0,100.0,23.0,9.2,True,light,2026-01-06T23:44:15.324000
695d9e54d135c4c10bf9192d,zone-1,66.3,24.9,92.3,92.3,100.0,100.0,450.0,9.5,True,moderate,2026-01-06T23:44:20.339000
695d9e59d135c4c10bf9192e,zone-1,63.6,26.3,94.1,94.1,100.0,100.0,23345.0,10.3,True,heavy,2026-01-06T23:44:25.356000
695d9e5ed135c4c10bf9192f,zone-1,39.9,27.3,89.6,89.6,98.2,99.0,35934.0,6.6,False,none,2026-01-06T23:44:30.374000
695d9e63d135c4c10bf91930,zone-1,54.4,28.6,83.3,83.3,94.9,97.6,63011.0,3.9,False,none,2026-01-06T23:44:35.393000
695d9e68d135c4c10bf91931,zone-1,41.6,30.8,76.6,76.6,91.7,96.2,55680.0,10.6,False,none,2026-01-06T23:44:40.411000
695d9e6dd135c4c10bf91932,zone-1,50.1,32.1,70.1,70.1,88.0,93.9,70637.0,9.3,False,none,2026-01-06T23:44:45.425000
695d9e72d135c4c10bf91933,zone-1,49.5,34.5,64.5,64.5,84.0,92.1,65316.0,8.0,False,none,2026-01-06T23:44:50.452000
695d9e77d135c4c10bf91934,zone-1,49.2,37.3,56.1,56.1,79.8,89.6,82631.0,6.8,False,none,2026-01-06T23:44:55.467000
695d9e7cd135c4c10bf91935,zone-1,52.7,34.6,49.1,49.1,76.2,87.9,66087.0,6.7,False,none,2026-01-06T23:45:00.494000
695d9e81d135c4c10bf91936,zone-1,42.2,33.8,41.9,41.9,73.7,85.7,59024.0,6.2,False,none,2026-01-06T23:45:05.508000
695d9e86d135c4c10bf91937,zone-1,40.2,35.0,36.0,36.0,70.7,84.2,45149.0,10.1,False,none,2026-01-06T23:45:10.519000
695d9e8bd135c4c10bf91938,zone-1,47.8,31.7,41.4,41.4,75.0,88.6,23772.0,9.8,False,none,2026-01-06T23:45:15.525000
695d9e90d135c4c10bf91939,zone-1,50.9,32.2,49.9,49.9,80.9,92.9,450.0,12.9,False,none,2026-01-06T23:45:20.535000
695d9e95d135c4c10bf9193a,zone-1,47.7,28.5,56.9,56.9,86.1,97.6,5.0,9.4,False,none,2026-01-06T23:45:25.549000
695d9e9ad135c4c10bf9193b,zone-1,46.0,28.9,65.8,65.8,92.4,100.0,34.0,10.3,False,none,2026-01-06T23:45:30.566000
695da435d135c4c10bf9193c,zone-1,53.53006102333539,24.15127848677608,40.14032076065994,36.45659364228329,40.57750316484329,49.06995384518338,478.58783093693165,11.562161710024633,True,none,2026-01-07T00:09:25.974000
695da436d135c4c10bf9193d,zone-1,64.46701153333512,27.31766546353512,51.39921527205848,48.62839862639122,52.48563741222732,61.082748594075696,598.4724075733245,12.263893705637317,False,none,2026-01-07T00:09:26.248000
695da436d135c4c10bf9193e,zone-1,72.5135695074431,28.59858117909763,61.97362871631289,59.694664232066984,64.01959834717067,71.1575939071457,580.5976412271158,6.1458139242092535,False,light,2026-01-07T00:09:26.363000
695da436d135c4c10bf9193f,zone-1,76.74805023456513,28.38718452419173,60.28680999363021,54.48718056264336,60.59160060703349,69.40639093911912,490.47674854113507,9.196382197032957,False,none,2026-01-07T00:09:26.480000
695da436d135c4c10bf91940,zone-1,75.31125397936194,32.38350562968711,65.34910596966238,63.03026488812286,67.38315215356948,74.08025747495948,459.13925952226487,7.878938254200717,False,none,2026-01-07T00:09:26.598000
695da436d135c4c10bf91941,zone-1,77.47922223862875,30.346562425288532,61.72369843451688,55.64156823046575,65.44872548488937,68.7068229208896,532.9894122680889,10.616790114167053,False,none,2026-01-07T00:09:26.714000
695da436d135c4c10bf91942,zone-1,66.18448335503479,31.152646586904602,51.99554002407595,48.80820631756042,52.58656909537261,59.46599347177852,467.3265274767417,10.059743690930247,False,none,2026-01-07T00:09:26.829000
695da436d135c4c10bf91943,zone-1,60.311167266719984,29.763525807906646,33.71327093266156,33.94675635440452,38.331790497243574,41.942925339123924,435.87220247222456,7.280172030636175,False,none,2026-01-07T00:09:26.944000
695da437d135c4c10bf91944,zone-1,49.42621018061007,28.407854411858263,26.647846382952107,23.985782330455336,31.27464911974597,31.89264454056995,538.9349186016843,8.737772006447209,False,none,2026-01-07T00:09:27.064000
695da437d135c4c10bf91945,zone-1,45.79745590005925,27.04398299239981,26.672485419474626,27.20171816377494,30.708121074741754,32.078584602144346,475.2672704820707,6.63341256669697,False,none,2026-01-07T00:09:27.177000
695da437d135c4c10bf91946,zone-1,38.767333759449855,24.559112696445727,27.815306297604046,28.852595181212514,28.595828244594944,30.9860588145051,544.3434131191792,12.28709944354715,False,light,2026-01-07T00:09:27.297000
695da437d135c4c10bf91947,zone-1,33.554199833330145,21.01539402800799,27.43216083705677,26.76650888869717,31.173875549228285,32.74797557945707,509.7386524385922,10.323644315534963,True,none,2026-01-07T00:09:27.409000
695da437d135c4c10bf91948,zone-1,39.67757433888161,19.53264526041627,35.720837388300176,33.2732122813092,37.453779600855746,43.1445086855428,459.999723850878,9.531657686418242,False,none,2026-01-07T00:09:27.518000
695da437d135c4c10bf91949,zone-1,36.307782634471366,19.912614213126055,50.05690086522184,49.025547435035406,51.648182755616844,59.86507751274834,422.64515686768806,6.476652383906635,False,none,2026-01-07T00:09:27.628000
695da437d135c4c10bf9194a,zone-1,42.89635817875983,17.902997224759563,54.630275704863905,53.98161171080089,54.91951824702352,63.757759441641575,539.3105434251434,8.776894944357373,False,none,2026-01-07T00:09:27.738000
695da437d135c4c10bf9194b,zone-1,46.84924956360161,16.11684477795688,62.792204217389425,59.902012050796614,63.69175676644949,70.56014768550155,445.0471248126112,6.39160554015314,True,none,2026-01-07T00:09:27.849000
695da437d135c4c10bf9194c,zone-1,60.05773099759716,16.006206719244112,66.57419123526122,61.76291267230108,67.63490039931982,75.55314160541866,410.80897574135184,8.712444473075706,False,none,2026-01-07T00:09:27.965000
695da438d135c4c10bf9194d,zone-1,62.44992111690781,15.02679018098898,56.129397356353145,53.62558893920589,59.28601434001736,63.845445457576176,458.844602236744,7.095565895333488,False,none,2026-01-07T00:09:28.080000
695da438d135c4c10bf9194e,zone-1,70.55121038302241,16.264633334758674,57.699891463100315,53.426339005342506,62.356529270499955,63.627250382739845,487.64234988884834,7.155706058539899,False,none,2026-01-07T00:09:28.204000
695da438d135c4c10bf9194f,zone-1,70.79870533777597,20.424571769275055,44.804084719561246,43.88252305276189,45.46885215828887,50.699308891924005,498.04463600959514,10.819482365433565,False,none,2026-01-07T00:09:28.328000
695da468d135c4c10bf91950,zone-1,51.07219452792071,25.410210740956103,42.05756935154359,39.925575231651415,46.66101643429771,46.31832737444541,448.0561216252101,11.408134230289892,False,none,2026-01-07T00:10:16.049000
695da468d135c4c10bf91951,zone-1,58.035492035720694,27.127327464052932,50.40384241521288,48.35870016557035,52.77596297461718,58.449021061438835,568.6539463041713,7.89090516149427,False,none,2026-01-07T00:10:16.310000
695da468d135c4c10bf91952,zone-1,64.54939187143911,29.50121165308894,64.99092954274893,63.191605188204456,67.58351072078456,72.31591480745217,504.94263550775355,10.209515286987493,False,none,2026-01-07T00:10:16.420000
695da468d135c4c10bf91953,zone-1,77.5635965793669,29.180289801918878,62.549890963884145,58.40435476815672,64.14288282326709,69.81473536378957,404.22190198317827,9.398738473110427,False,none,2026-01-07T00:10:16.540000
695da468d135c4c10bf91954,zone-1,70.43267010726042,33.059356214143385,61.421639924713816,55.37940246916166,63.1741263583712,72.16828341796207,422.48663146086705,10.72818207474393,False,none,2026-01-07T00:10:16.654000
